id,Name,Census Total,Census Urban,Census Rural,Census Percent Rural,urbanicity,AB_IB_Dual_Enrollment,Hispanic_any,AI_NA,Asian,Black_or_AA,NW_OPI,White,Two or more races,Full time enrollment,Part time enrollment,Total Enrollment,Total FRPL,Total EL,Total sped,n_ Standard Diploma,n_STD FRPL,n_STD LEP,n_ STD NA,n_STD Asian,n_STD Black,n_STD Latinx,n_STD White,n_Advanced,n_ADV FRPL,n_ADV LEP,n_ADV NA,n_ADV Asian,n_ADV Black,n_ADV Latinx,n_ADV White,n_ Applied,GED,Cohort (2017) size,n_NA,n_Asian,n_Black,n_Latinx,n_White,n_FRPL,n_Drop out,n_NA DO,n_Asian DO,n_Black DO,n_Latinx DO,n_White DO,census,SUM,Division num,urban,mostly,rural,pct_frpl,pct_apib,pct_adv,pct_hisp,pct_ai_na,pct_asian,pct_black,pct_nwopi,pct_white,pct_2more,d_index,metric
1,Accomack County,33164,0,33164,100,rural,150,1169,8,44,1900,5,2039,33,5198,1,5199,2707,1011,712,124,97,11,0,0,57,18,42,174,69,0,0,0,40,26,102,0,0,340,0,0,114,54,159,235,22,0,0,0,0,0,33164,21,2,0,0,1,0.5206770532794768,0.028851702250432775,0.54375,0.2248509328717061,0.0015387574533564147,0.008463165993460281,0.36545489517214846,9.617234083477592e-4,0.3921908059242162,0.006347374495095211,0.661955942301923,1.6153846153846154
2,Albemarle County,99010,54411,44559,45,urban,1867,1787,18,715,1461,13,9099,835,13928,10,13938,4223,1386,1660,313,137,13,0,14,72,39,166,660,70,0,0,34,45,38,508,48,6,1037,0,48,124,85,715,316,29,0,0,0,0,18,99010,38,5,1,0,0,0.30298464629071603,0.13395035155689483,0.625,0.12821064715167169,0.0012914334911752045,0.05129860812168174,0.10482135170038744,9.327019658487588e-4,0.6528196297890658,0.05990816472951643,0.5401779720168203,2.923076923076923
3,Alleghany County,16250,7736,8514,52.4,mostly_rural,25,23,5,15,139,0,1923,85,2190,0,2190,939,NA,306,90,53,0,0,0,0,NA,74,73,17,0,0,0,0,0,62,21,NA,203,0,0,19,0,174,118,11,0,0,0,0,0,16250,17,6,0,1,0,0.42876712328767125,0.01141552511415525,NA,0.010502283105022832,0.00228310502283105,0.00684931506849315,0.06347031963470319,0,0.8780821917808219,0.03881278538812785,0.22327432705740086,1.3076923076923077
4,Amelia County,12690,0,12690,100,rural,163,85,7,9,377,2,1224,88,1792,0,1792,807,61,197,78,35,0,0,0,20,0,48,68,14,0,0,0,20,0,40,11,1,154,0,0,38,0,99,78,0,0,0,0,0,0,12690,24,8,0,0,1,0.45033482142857145,0.09095982142857142,0.43037974683544306,0.04743303571428571,0.00390625,0.005022321428571429,0.21037946428571427,0.0011160714285714285,0.6830357142857143,0.049107142857142856,0.4844995615433673,1.8461538461538463
5,Amherst County,32353,11756,20597,63.7,mostly_rural,268,143,34,20,831,2,2736,289,4055,0,4055,2226,20,548,175,81,0,0,0,49,0,108,152,33,0,0,0,28,0,108,16,7,347,0,0,83,0,229,179,0,0,0,0,0,0,32353,25,5,0,1,0,0.5489519112207152,0.06609124537607891,0.4342857142857143,0.03526510480887793,0.008384710234278668,0.004932182490752158,0.20493218249075215,4.932182490752158e-4,0.6747225647348952,0.07127003699136868,0.496334342373134,1.9230769230769231
6,Appomattox County,14973,0,14973,100,rural,87,61,0,7,535,0,1473,194,2270,0,2270,1111,NA,226,76,40,0,0,0,19,0,47,96,33,0,0,0,18,0,69,0,6,185,0,0,39,0,126,96,0,0,0,0,NA,0,14973,24,8,0,0,1,0.4894273127753304,0.03832599118942731,0.5393258426966292,0.026872246696035242,0,0.0030837004405286344,0.2356828193832599,0,0.6488986784140969,0.08546255506607929,0.515348638630674,1.8461538461538463
7,Arlington County,207627,207627,0,0,urban,2691,7728,79,2505,2704,24,12232,1703,26975,0,26975,8899,8145,3811,484,222,86,0,48,102,206,102,933,176,0,0,80,76,184,536,20,4,1541,0,132,195,480,650,648,101,0,0,0,84,0,207627,40,4,1,0,0,0.3298980537534754,0.09975903614457832,0.6050583657587548,0.2864874884151993,0.002928637627432808,0.09286376274328081,0.10024096385542168,8.897126969416126e-4,0.4534569045412419,0.06313253012048192,0.6896347405734724,3.076923076923077
8,Augusta County,73750,24752,48998,66.4,mostly_rural,505,521,26,97,272,11,9055,380,10362,1,10363,4126,240,747,322,134,0,0,0,0,17,290,401,71,0,0,0,0,17,368,34,15,809,0,0,15,40,729,349,40,0,0,0,0,32,73750,21,5,0,1,0,0.39814725465598766,0.048731062433658205,0.4938423645320197,0.05027501688700183,0.002508925986683393,0.009360223873395735,0.026247225706841647,0.0010614686866737431,0.8737817234391585,0.03666891826691113,0.23184936082019472,1.6153846153846154
9,Bath County,4731,0,4731,100,rural,22,12,1,2,18,0,500,22,555,0,555,291,NA,91,33,13,0,0,0,0,0,30,16,0,0,0,0,0,0,15,0,1,56,0,0,0,0,52,29,0,0,0,0,0,0,4731,16,5,0,0,1,0.5243243243243243,0.03963963963963964,0.32,0.021621621621621623,0.0018018018018018018,0.0036036036036036037,0.032432432432432434,0,0.9009009009009009,0.03963963963963964,0.18527067608148676,1.2307692307692308
10,Bedford County,68676,14812,53864,78.4,mostly_rural,877,363,23,193,725,8,7946,461,9719,3,9722,4083,172,1096,300,124,0,0,0,27,0,255,403,77,0,0,10,21,13,348,17,14,782,0,12,56,23,671,292,51,0,0,0,0,44,68676,23,5,0,1,0,0.41997531372145647,0.0902077761777412,0.513375796178344,0.03733799629705822,0.0023657683604196666,0.019851882328738944,0.07457313310018515,8.228759514503189e-4,0.8173215387780293,0.04741822670232462,0.3223813646613036,1.7692307692307692
