School,SCHID,LEA,id,apcount,schpop,APSAI,NOTES,FLAG,,,LIST OF IBS,http://www.ibmidatlantic.org/VA.html
The Renaissance Academy,2822,VA BEACH CITY PBLC SCHS,128,NA,396,NA,alt?,,,,,
Center for Diversified Studies,2841,HENRICO CO PBLC SCHS,43,NA,20,NA,alter?,,,,,
Arlington Community High,2875,ARLINGTON CO PBLC SCHS,7,NA,168,NA,alternative,,,,,
Langston High Continuation Program,2944,ARLINGTON CO PBLC SCHS,7,NA,92,NA,alternative,,,,,
New Directions Alternative H.S. Program,2860,ARLINGTON CO PBLC SCHS,7,NA,33,NA,alternative,,,,,
Carver College and Career Academy,1605,CHESTERFIELD CO PBLC SCHS,21,1,253,253,alternative,,,,,
Achievement Integrity And Maturity,2674,FAIRFAX CO PBLC SCHS,29,NA,53,NA,alternative,,,,,
ALC at Bryant,1103,FAIRFAX CO PBLC SCHS,29,1,42,42,alternative,,,,,
ALC at Mountain View,1106,FAIRFAX CO PBLC SCHS,29,1,21,21,alternative,,,,,
Bryant High,497,FAIRFAX CO PBLC SCHS,29,NA,350,NA,alternative,,,,,
Fairfax County Adult High,422,FAIRFAX CO PBLC SCHS,29,NA,32,NA,alternative,,,,,
Interagency Alternative Secondary Center,572,FAIRFAX CO PBLC SCHS,29,1,200,200,alternative,,,,,
Mountain View High,1099,FAIRFAX CO PBLC SCHS,29,1,256,256,alternative,,,,,
TRANSITIONAL ESOL CTR,1905,FAIRFAX CO PBLC SCHS,29,NA,133,NA,alternative,,,,,
Academy at Virginia Randolph,805,HENRICO CO PBLC SCHS,43,NA,122,NA,alternative,,,,,
New Directions Alternative Education Center,2459,PRINCE WILLIAM CO PBLC SCHS,75,NA,449,NA,alternative,,,,,
Franklin Military Academy,2214,RICHMOND CITY PBLC SCHS,123,1,368,368,alternative,,,,,
Richmond Alternative School,2307,RICHMOND CITY PBLC SCHS,123,NA,983,NA,alternative,,,,,
Richmond Community High,2075,RICHMOND CITY PBLC SCHS,123,7,238,34,alternative,,,,,
Open High,1373,RICHMOND CITY PBLC SCHS,123,10,181,18.1,alternative,,,,,
Courthouse Academy Program,2749,SPOTSYLVANIA CO PBLC SCHS,88,NA,30,NA,alternative,,,,,
Gateway Academy,2821,SPOTSYLVANIA CO PBLC SCHS,88,NA,32,NA,alternative,,,,,
Regional/Alternative Center,3049,STAFFORD CO PBLC SCHS,89,NA,75,NA,alternative,,,,,
Achievable Dream Middle/High,2344,NEWPORT NEWS CITY PBLC SCHS,117,9,440,48.88888889,alternative?,,,,,
