id,Name,division,d_index,metric,urban,mostly,rural,Expenditure_per_pupil,census,pct_frpl,pct_apib,pct_adv,pct_hisp,pct_ai_na,pct_asian,pct_black,pct_nwopi,pct_white,pct_2more,pct_rural,n_Advanced,n_ADV FRPL,n_ADV LEP,n_ADV NA,n_ADV Asian,n_ADV Black,n_ADV Latinx,n_ADV White,pct_nonwhite_adv
1,Accomack County,2,0.661955942,1.615384615,0,0,1,11844,33164,0.520677053,0.028851702,0.54375,0.224850933,0.001538757,0.008463166,0.365454895,9.62E-04,0.392190806,0.006347374,100,174,69,0,0,0,40,26,102,41.37931034
2,Albemarle County,5,0.540177972,2.923076923,1,0,0,14644,99010,0.302984646,0.133950352,0.625,0.128210647,0.001291433,0.051298608,0.104821352,9.33E-04,0.65281963,0.059908165,45,660,70,0,0,34,45,38,508,23.03030303
3,Alleghany County,6,0.223274327,1.307692308,0,1,0,11952,16250,0.428767123,0.011415525,NA,0.010502283,0.002283105,0.006849315,0.06347032,0,0.878082192,0.038812785,52.4,73,17,0,0,0,0,0,62,15.06849315
4,Amelia County,8,0.484499562,1.846153846,0,0,1,10081,12690,0.450334821,0.090959821,0.430379747,0.047433036,0.00390625,0.005022321,0.210379464,0.001116071,0.683035714,0.049107143,100,68,14,0,0,0,20,0,40,41.17647059
5,Amherst County,5,0.496334342,1.923076923,0,1,0,11369,32353,0.548951911,0.066091245,0.434285714,0.035265105,0.00838471,0.004932182,0.204932182,4.93E-04,0.674722565,0.071270037,63.7,152,33,0,0,0,28,0,108,28.94736842
6,Appomattox County,8,0.515348639,1.846153846,0,0,1,10122,14973,0.489427313,0.038325991,0.539325843,0.026872247,0,0.0030837,0.235682819,0,0.648898678,0.085462555,100,96,33,0,0,0,18,0,69,28.125
7,Arlington County,4,0.689634741,3.076923077,1,0,0,20460,207627,0.329898054,0.099759036,0.605058366,0.286487488,0.002928638,0.092863763,0.100240964,8.90E-04,0.453456905,0.06313253,0,933,176,0,0,80,76,184,536,42.55091104
8,Augusta County,5,0.231849361,1.615384615,0,1,0,10989,73750,0.398147255,0.048731062,0.493842365,0.050275017,0.002508926,0.009360224,0.026247226,0.001061469,0.873781723,0.036668918,66.4,401,71,0,0,0,0,17,368,8.229426434
9,Bath County,5,0.185270676,1.230769231,0,0,1,19704,4731,0.524324324,0.03963964,0.32,0.021621622,0.001801802,0.003603604,0.032432432,0,0.900900901,0.03963964,100,16,0,0,0,0,0,0,15,6.25
10,Bedford County,5,0.322381365,1.769230769,0,1,0,10722,68676,0.419975314,0.090207776,0.513375796,0.037337996,0.002365768,0.019851882,0.074573133,8.23E-04,0.817321539,0.047418227,78.4,403,77,0,0,10,21,13,348,13.64764268
11,Bland County,7,0.071994746,1,0,0,1,11364,6824,0.483561644,0.069863014,0.283018868,0.010958904,0.002739726,0,0.001369863,0,0.963013699,0.021917808,100,15,0,0,0,0,0,0,15,0
12,Botetourt County,6,0.196826185,2,0,1,0,11521,33148,0.272160069,0.078098107,0.661111111,0.038080895,0.001075731,0.008390706,0.022160069,2.15E-04,0.894363167,0.035714286,64.1,238,19,0,0,0,0,0,215,9.663865546
13,Brunswick County,8,0.410580982,1.307692308,0,1,0,13846,17434,0.635644769,0.022506083,0.202797203,0.045012165,0.001824818,0.003041363,0.743309002,0,0.185523114,0.021289538,75.5,29,0,0,0,0,20,0,0,100
