LEA_NAME,SCHID,SCH_NAME,SCH_APCOURSES
APPOMATTOX REGIONAL GOV SCH,01932,Appomattox Regional Governor's School,3
ACCOMACK CO PBLC SCHS,00007,Chincoteague High,23
ACCOMACK CO PBLC SCHS,00014,Tangier Combined,26
ACCOMACK CO PBLC SCHS,02003,Nandua High,24
ACCOMACK CO PBLC SCHS,02028,Arcadia High,2
MAGGIE L. WALKER GOV SCH,02561,Maggie L. Walker Governor's School,21
ALBEMARLE CO PBLC SCHS,00015,Albemarle High,23
ALBEMARLE CO PBLC SCHS,00035,Western Albemarle High,21
ALBEMARLE CO PBLC SCHS,01747,Monticello High,24
REGIONAL LEARNING ACADEMY/WISE CO,02372,Regional Learning Academy/Wise Co,2
ALEXANDRIA CITY PBLC SCHS,00054,T.C. Williams High,27
ALLEGHANY CO PBLC SCHS,01883,Alleghany High,8
AMELIA CO PBLC SCHS,01828,Amelia County High,3
AMHERST CO PBLC SCHS,00065,Amherst County High,21
APPOMATTOX CO PBLC SCHS,00076,Appomattox County High,13
ARLINGTON CO PBLC SCHS,00111,Wakefield High,33
ARLINGTON CO PBLC SCHS,00112,Washington-Lee High,26
ARLINGTON CO PBLC SCHS,00115,Yorktown High,34
ARLINGTON CO PBLC SCHS,02659,HB Woodlawn Secondary Program,26
AUGUSTA CO PBLC SCHS,00117,Buffalo Gap High,13
AUGUSTA CO PBLC SCHS,00124,Fort Defiance High,13
AUGUSTA CO PBLC SCHS,00129,Riverheads High,13
AUGUSTA CO PBLC SCHS,00132,Stuarts Draft High,12
AUGUSTA CO PBLC SCHS,00138,Wilson Memorial High,21
BATH CO PBLC SCHS,00139,Bath County High,1
BEDFORD CO PBLC SCHS,00151,Liberty High,16
BEDFORD CO PBLC SCHS,00156,Staunton River High,15
BEDFORD CO PBLC SCHS,02175,Jefferson Forest High,26
BOTETOURT CO PBLC SCHS,00171,James River High,7
BOTETOURT CO PBLC SCHS,00172,Lord Botetourt High,14
BRISTOL CITY PBLC SCHS,00179,Virginia High,17
BUCKINGHAM CO PBLC SCHS,00210,Buckingham County High,2
BUENA VISTA CITY PBLC SCHS,00217,Parry McCluer High,7
CAMPBELL CO PBLC SCHS,00220,Altavista High,9
CAMPBELL CO PBLC SCHS,00223,Brookville High,15
CAMPBELL CO PBLC SCHS,00231,Rustburg High,14
CAMPBELL CO PBLC SCHS,00233,William Campbell High,4
CAROLINE CO PBLC SCHS,00238,Caroline High,22
CARROLL CO PBLC SCHS,00242,Carroll County High,20
CHARLES CITY CO PBLC SCHS,00258,Charles City County High,1
CHARLOTTESVILLE CTY PBLC SCHS,00273,Charlottesville High,25
CHESAPEAKE CITY PBLC SCHS,00299,Indian River High,15
CHESAPEAKE CITY PBLC SCHS,00303,Oscar F. Smith High,18
CHESAPEAKE CITY PBLC SCHS,00312,Western Branch High,23
CHESAPEAKE CITY PBLC SCHS,01482,Hickory High,26
CHESAPEAKE CITY PBLC SCHS,01832,Deep Creek High,24
CHESAPEAKE CITY PBLC SCHS,02031,Great Bridge High,25
CHESAPEAKE CITY PBLC SCHS,02765,Grassfield High,24
CHESTERFIELD CO PBLC SCHS,00056,Manchester High,21
CHESTERFIELD CO PBLC SCHS,00324,Clover Hill High,28
CHESTERFIELD CO PBLC SCHS,00337,Lloyd C. Bird High,18
CHESTERFIELD CO PBLC SCHS,00340,Matoaca High,17
CHESTERFIELD CO PBLC SCHS,00342,Meadowbrook High,15
CHESTERFIELD CO PBLC SCHS,00350,Thomas Dale High,18
CHESTERFIELD CO PBLC SCHS,00766,James River High,32
CHESTERFIELD CO PBLC SCHS,01605,Carver College and Career Academy,1
CHESTERFIELD CO PBLC SCHS,01833,Monacan High,26
CHESTERFIELD CO PBLC SCHS,02006,Midlothian High,23
CHESTERFIELD CO PBLC SCHS,02661,Cosby High,22
CLARKE CO PBLC SCHS,02100,Clarke County High,10
COLONIAL BEACH PBLC SCHS,01957,Colonial Beach High,6
COLONIAL HEIGHTS CITY PBLC SCHS,00361,Colonial Heights High,11
COVINGTON CITY PBLC SCHS,00367,Covington High,3
CRAIG CO PBLC SCHS,02111,Craig County High,4
CULPEPER CO PBLC SCHS,00376,Culpeper County High,25
CULPEPER CO PBLC SCHS,02758,Eastern View High,30
DANVILLE CITY PBLC SCHS,00390,George Washington High,17
DANVILLE CITY PBLC SCHS,02261,Galileo Magnet High,15
DICKENSON CO PBLC SCHS,02981,Ridgeview High School,3
DINWIDDIE CO PBLC SCHS,00410,Dinwiddie County High,7
ESSEX CO PBLC SCHS,00419,Essex High,4
FAIRFAX CO PBLC SCHS,00059,Chantilly High,26
FAIRFAX CO PBLC SCHS,00423,Annandale High,6
FAIRFAX CO PBLC SCHS,00461,Edison High,6
FAIRFAX CO PBLC SCHS,00463,Fairfax High,28
FAIRFAX CO PBLC SCHS,00468,Falls Church High,27
FAIRFAX CO PBLC SCHS,00489,West Potomac High,26
FAIRFAX CO PBLC SCHS,00493,Hayfield Secondary,25
FAIRFAX CO PBLC SCHS,00495,Herndon High,24
FAIRFAX CO PBLC SCHS,00505,Stuart High,3
FAIRFAX CO PBLC SCHS,00516,Lake Braddock Secondary,32
FAIRFAX CO PBLC SCHS,00517,Langley High,30
FAIRFAX CO PBLC SCHS,00521,Lee High,8
FAIRFAX CO PBLC SCHS,00532,Madison High,24
FAIRFAX CO PBLC SCHS,00535,Marshall High,3
FAIRFAX CO PBLC SCHS,00538,McLean High,29
FAIRFAX CO PBLC SCHS,00542,Mount Vernon High,6
FAIRFAX CO PBLC SCHS,00550,Oakton High,32
FAIRFAX CO PBLC SCHS,00558,Quander Road School,1
