LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_SAL_TOTPERS_WOFED,SCH_FTE_TEACH_WOFED,SCH_SAL_TEACH_WOFED,SCH_NPE_WOFED,SCH_FTE_AID_WOFED,SCH_SAL_AID_WOFED,SCH_FTE_SUP_WOFED,SCH_SAL_SUP_WOFED,SCH_FTE_ADM_WOFED,SCH_SAL_ADM_WOFED,SCH_SAL_TEACH_WFED,SCH_FTE_AID_WFED,SCH_SAL_AID_WFED,SCH_FTE_SUP_WFED,SCH_SAL_SUP_WFED,SCH_FTE_ADM_WFED,SCH_SAL_ADM_WFED,SCH_SAL_TOTPERS_WFED,SCH_NPE_WFED
VA,VIRGINIA,5100017,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,02089,Center for Autism,510001702089,No,3113488.81,22,1104011.88,2396794.17,49,993978.74,12.5,812642.25,2.5,202855.94,1104011.88,49,993978.74,10.5,812642.25,2.5,1104011,3113488.81,2396794.17
VA,VIRGINIA,5100017,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,02639,Newport Academy,510001702639,No,2280056.67,16,857495.54,1777391.32,32,653116.69,8.5,564481.38,2.5,204963.06,857495.54,32,653116.69,8.5,564481.38,2.5,204963.06,2280056.67,1777391.32
VA,VIRGINIA,5100018,Piedmont Regional ED.,02090,Piedmont REG ED/IVY CREEK,510001802090,No,1802575.55,9,544269.9,1251677.41,21,717059.6,6,397222.07,1,98233.63,544269.9,21,717059.6,6,397222.07,1,98233.63,1802575.55,1251677.41
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,02649,NORFOLK RE-ED,510002002649,No,1474571,20,1039884,62137,9,199473,2,62443,2,172771,1039884,9,199473,2,62443,2,172771,1474571,62137
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,02670,SUFFOLK RE-ED,510002002670,No,997719,14,724157,32101,3,62077,2,129300,1,82185,724157,3,62077,2,129300,1.2,82185,997719,32101
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,02675,VIRGINIA BEACH SECEP - RE-ED,510002002675,No,1985275,23,1182808,94312,15,316327,8,342471,3,143669,1182808,15.1,316327,8,342471,3,143669,1985275,94312
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,02681,VIRGINIA BEACH SECEP,510002002681,No,920444,11,583634,33018,7,155404,1,90858,1,90548,583634,7,155404,1,90858,1,90548,920444,33018
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,02689,CHESAPEAKE SECEP CENTER,510002002689,No,2228114,28,1417347,92585,11,248404,6,277217,3,285146,1417347,11,248404,6,277217,3,285146,2228114,92585
VA,VIRGINIA,5100032,APPOMATTOX REGIONAL GOV SCH,01932,Appomattox Regional Governor's School,510003201932,No,1907911,28,1292732,0,0,NA,10,428770,2,186409,1414823,0,0,10,428770,2,186409,2030002,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02376,Northern Virginia Juvenile Detention Home,510004202376,Yes,977517,8,788932,36700,0,NA,0,NA,2,188585,978655,0,0,0,0,2,188585,1167240,37700
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02377,Highlands Juvenile Detention Home,510004202377,Yes,394966,6,264703,36724,0,NA,0,NA,2,130263,316166,0,0,0,0,2,130263,446429,37724
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02378,Blue Ridge Juvenile Detention Home,510004202378,Yes,473365,6,384492,132300,0,NA,0,NA,1,88873,464260,0,0,0,0,1,88873,553133,133300
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02379,Tidewater Juvenile Detention Home - Chesapeake,510004202379,Yes,772858,10,647751,73725,0,NA,0,NA,2,125107,786994,0,0,0,0,2,125107,912101,74725
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02380,Chesterfield Juvenile Detention Home,510004202380,Yes,701858,10,557478,50850,0,NA,0,NA,2,144380,585889,0,0,0,0,2,144380,730269,51850
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02382,W.W. Moore Jr. Juvenile Detention Home,510004202382,Yes,483281,7,351071,30100,0,NA,0,NA,2,132210,417535,0,0,0,0,2,132210,549745,41100
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02383,Fairfax Juvenile Detention Home,510004202383,Yes,995862,9,817115,59260,0,NA,0,NA,2,178747,904119,0,0,0,0,2,178747,1082866,60260
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02386,Henrico Juvenile Detention Home - James River,510004202386,Yes,880593,11,748305,77450,0,NA,0,NA,2,132288,882688,0,0,0,0,2,132288,1014976,78450
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02388,Loudoun Co. Juvenile Detention Home,510004202388,Yes,385122,3,272589,38100,0,NA,0,NA,1,112533,377623,0,0,0,0,1,112533,490156,39100
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02389,Lynchburg Juvenile Detention Home,510004202389,Yes,459922,7,359232,58850,0,NA,0,NA,2,100690,434575,0,0,0,0,2,100690,535265,59850
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02390,New River Valley Juvenile Detention Home,510004202390,Yes,176716,3,176716,25350,0,NA,0,NA,0,NA,223752,0,0,0,0,0,0,223752,26350
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02391,Newport News Juvenile Detention Home,510004202391,Yes,805021,11,661320,74770,1,19508,0,NA,2,124193,780823,1,19508,0,0,2,124193,924524,75770
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02392,Norfolk Juvenile Detention Center,510004202392,Yes,661784,10,491418,45860,0,NA,0,NA,2,170366,715937,0,0,0,0,2,170366,886303,46860
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02393,Piedmont Regional Juvenile Detention Center,510004202393,Yes,199970,4,199970,22800,0,NA,0,NA,0,NA,199970,0,0,0,0,0,0,199970,23800
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02394,Crater Juvenile Detention Home,510004202394,Yes,228357,3,188090,31665,0,NA,0,NA,1,40267,188090,0,0,0,0,1,40267,228357,32665
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02395,Richmond Juvenile Detention Home,510004202395,Yes,738984,9,615827,53500,0,NA,0,NA,2,123157,683558,0,0,0,0,2,123157,806715,54500
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02396,Roanoke Valley Juvenile Detention Home,510004202396,Yes,447168,5,326031,55900,0,NA,0,NA,1,121137,384900,0,0,0,0,1,121137,506037,56900
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02397,Rappahannock Juvenile Detention Home,510004202397,Yes,574764,9,413696,32500,0,NA,0,NA,2,161068,468553,0,0,0,0,2,161068,629621,33500
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02398,Shenandoah Valley Juvenile Detention Home,510004202398,Yes,519381,7,382537,51120,0,NA,0,NA,2,136844,432979,0,0,0,0,2,136844,569823,62120
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02399,Middle Peninsula Juvenile Detention Home,510004202399,Yes,603820,8,476237,48500,0,NA,0,NA,2,127583,625524,0,0,0,0,2,127583,753107,49500
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02403,Prince William Juv. Detention Home,510004202403,Yes,932691,9,688840,131893,0,NA,1,73204,2,170647,738789,0,0,1,73204,2,170647,982640,132893
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02476,Virginia Beach Juvenile Detention Home,510004202476,Yes,649225,9,509828,19552,0,NA,0,NA,2,139397,575890,0,0,0,0,2,139397,715287,39552
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02890,N.W.  (Northwestern) Regional Juvenile Detention Home,510004202890,Yes,323673,4,244468,22850,0,NA,0,NA,1,79205,304156,0,0,0,0,1,79205,383361,23850
VA,VIRGINIA,5100058,The Virginia School for the Deaf and the Blind,02558,Virginia School For Deaf,510005802558,No,1254576.37,14,712186.04,72996.66,6,175784,6,269068.33,2,97538,712186.04,7,203156,6.5,308370.26,2,97538,1321250.3,185794.77
VA,VIRGINIA,5100058,The Virginia School for the Deaf and the Blind,02559,Virginia School For Blind,510005802559,No,956672.43,11,414292.1,47846.69,6,175784,6,269058.33,2,97538,460341.83,6,175784,6.5,308370.26,2,97538,1042034.09,119432.81
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,00006,Chincoteague Elementary,510006000006,No,978971,16,733079,90910.28,1,18086,2,105710,1,99666,885369,1,18086,20,916798,1,99666,1034551,90910.28
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,00007,Chincoteague High,510006000007,No,1571973,27,1245053,111458.71,4,84660,2,85363,2,156897,1346398,4,84660,30,1379715,2,156897,1621272,115884.62
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,00009,Kegotank Elementary,510006000009,No,2436516,41,1903986,191965.71,12,254716,3,141926,2,135887,2236301,15,316587,49,2275741,2,135887,2814973,280678.72
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,00012,Pungoteague Elementary,510006000012,No,1712883,33,1412319,123907.65,8,166321,2,92829,2,153981,1750091,12,244431,41,1791505,2,153981,2035935,167414.02
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,00014,Tangier Combined,510006000014,No,587189,10,501802,30780.08,1,0,10,0,1,85387,501802,1,19579,10,501802,1,85387,1108570,32652.48
