LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTETEACH_FY,SCH_FTETEACH_SY,SCH_TEACHERS_CURR_TOT,SCH_TEACHERS_PREV_TOT,SCH_FTETEACH_ABSENT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
VA,VIRGINIA,5100017,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,02089,Center for Autism,510001702089,No,22,22,0,2,1,22,20,9,0,0,0,1,1,0
VA,VIRGINIA,5100017,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,02639,Newport Academy,510001702639,No,16,16,0,1,2,16,15,14,0,0,0,1,1,0
VA,VIRGINIA,5100018,Piedmont Regional ED.,02090,Piedmont REG ED/IVY CREEK,510001802090,No,9,9,0,0,0,9,9,6,0,0,0,0,3,0
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,02649,NORFOLK RE-ED,510002002649,No,20,17,3,2,1,14,13,10,0,0,0,0,0,0
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,02670,SUFFOLK RE-ED,510002002670,No,14,14,0,1,1,13,13,7,0,0,0,0,0,0
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,02675,VIRGINIA BEACH SECEP - RE-ED,510002002675,No,23,23,0,0,1,21,22,10,0,0,0,0,0,0
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,02681,VIRGINIA BEACH SECEP,510002002681,No,12,10,2,2,0,10,10,4,0,0,0,0,0,0
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,02689,CHESAPEAKE SECEP CENTER,510002002689,No,28,24,4,1,1,22,20,15,9,0,0,0,0,0
VA,VIRGINIA,5100032,APPOMATTOX REGIONAL GOV SCH,01932,Appomattox Regional Governor's School,510003201932,No,28,27,1,3,1,35,27,8,2,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,02376,Northern Virginia Juvenile Detention Home,510004202376,Yes,10,10,0,0,0,10,8,4,0,0,NA,0,0,0
