School,SCHID,course,trackedness,dindex,pctblack,pctlatinx,pctwhite,schpctblack,schpctlatinx,schpctwhite,id,LEA,schoolsum,division,d_index,urban,mostly,rural,Expenditure_per_pupil,census,pct_frpl,schpop,discrepancy_black,discrepancy_latinx
Chincoteague High,00007,alg11112,1.6153846153846154,NaN,0,0,NaN,0.13986013986013987,0.03496503496503497,0.8181818181818182,1,ACCOMACK CO PBLC SCHS,0,2,0.661955942301923,0,0,1,11844,33164,0.5206770532794768,286,-0.13986013986013987,-0.03496503496503497
Chincoteague High,00007,alg10910,1.6153846153846154,0.5680473372781064,0.2727272727272727,0,0.7272727272727272,0.13986013986013987,0.03496503496503497,0.8181818181818182,1,ACCOMACK CO PBLC SCHS,26,2,0.661955942301923,0,0,1,11844,33164,0.5206770532794768,286,0.13286713286713284,-0.03496503496503497
Chincoteague High,00007,alg108,1.6153846153846154,0,0,0,1,0.13986013986013987,0.03496503496503497,0.8181818181818182,1,ACCOMACK CO PBLC SCHS,4,2,0.661955942301923,0,0,1,11844,33164,0.5206770532794768,286,-0.13986013986013987,-0.03496503496503497
Chincoteague High,00007,chem,1.6153846153846154,0.06887755102040805,0,0.03571428571428571,0.9642857142857143,0.13986013986013987,0.03496503496503497,0.8181818181818182,1,ACCOMACK CO PBLC SCHS,28,2,0.661955942301923,0,0,1,11844,33164,0.5206770532794768,286,-0.13986013986013987,7.492507492507447e-4
Chincoteague High,00007,bio,1.6153846153846154,0.3309948979591836,0.14285714285714285,0.05357142857142857,0.8035714285714286,0.13986013986013987,0.03496503496503497,0.8181818181818182,1,ACCOMACK CO PBLC SCHS,56,2,0.661955942301923,0,0,1,11844,33164,0.5206770532794768,286,0.002997002997002979,0.0186063936063936
Chincoteague High,00007,gate,1.6153846153846154,0,0,0,1,0.13986013986013987,0.03496503496503497,0.8181818181818182,1,ACCOMACK CO PBLC SCHS,26,2,0.661955942301923,0,0,1,11844,33164,0.5206770532794768,286,-0.13986013986013987,-0.03496503496503497
Chincoteague High,00007,apany,1.6153846153846154,0.09972299168975085,0,0.05263157894736842,0.9473684210526315,0.13986013986013987,0.03496503496503497,0.8181818181818182,1,ACCOMACK CO PBLC SCHS,19,2,0.661955942301923,0,0,1,11844,33164,0.5206770532794768,286,-0.13986013986013987,0.01766654398233345
Chincoteague High,00007,alg2,1.6153846153846154,0.19753086419753085,0.1111111111111111,0,0.8888888888888888,0.13986013986013987,0.03496503496503497,0.8181818181818182,1,ACCOMACK CO PBLC SCHS,45,2,0.661955942301923,0,0,1,11844,33164,0.5206770532794768,286,-0.028749028749028765,-0.03496503496503497
Nandua High,02003,alg11112,1.6153846153846154,NaN,0,0,NaN,0.35765379113018597,0.16452074391988558,0.4606580829756796,1,ACCOMACK CO PBLC SCHS,0,2,0.661955942301923,0,0,1,11844,33164,0.5206770532794768,699,-0.35765379113018597,-0.16452074391988558
Nandua High,02003,alg10910,1.6153846153846154,0.7722107438016529,0.40186915887850466,0,0.3551401869158879,0.35765379113018597,0.16452074391988558,0.4606580829756796,1,ACCOMACK CO PBLC SCHS,132,2,0.661955942301923,0,0,1,11844,33164,0.5206770532794768,699,0.04421536774831869,-0.16452074391988558
Nandua High,02003,chem,1.6153846153846154,0.6390625000000001,0.3,0.2125,0.475,0.35765379113018597,0.16452074391988558,0.4606580829756796,1,ACCOMACK CO PBLC SCHS,80,2,0.661955942301923,0,0,1,11844,33164,0.5206770532794768,699,-0.05765379113018598,0.04797925608011441
