School,SCHID,LEA,dindex_alg11112,pctwhite_alg11112,pctblack_alg11112,schoolsum_alg11112,dindex_alg10910,pctwhite_alg10910,pctblack_alg10910,schoolsum_alg10910,dindex_alg108,pctwhite_alg108,pctblack_alg108,schoolsum_alg108,dindex_chem,pctwhite_chem,pctblack_chem,pctlatinx_chem,schoolsum_chem,dindex_bio,pctwhite_bio,pctlatinx_bio,schoolsum_bio,pctblack_bio,dindex_gate,pctwhite_gate,schoolsum_gate,pctblack_gate,dindex_apany,pctwhite_apany,pctlatinx_apany,schoolsum_apany,pctblack_apany,dindex_alg2,pctwhite_alg2,schoolsum_alg2,pctlatinx_alg2,pctblack_alg2,dindex_enr,pctwhite_enr,pctblack_enr,pctlatinx_enr,schoolsum_enr
Chincoteague High,00007,ACCOMACK CO PBLC SCHS,NaN,NaN,NaN,0,0.5680473372781064,0.7272727272727272,0.2727272727272727,26,0,1,0,4,0.06887755102040805,0.9642857142857143,0,0.03571428571428571,28,0.3309948979591836,0.8035714285714286,0.05357142857142857,56,0.14285714285714285,0,1,26,0,0.09972299168975085,0.9473684210526315,0.05263157894736842,19,0,0.19753086419753085,0.8888888888888888,45,0,0.1111111111111111,0.30977064893148787,0.8181818181818182,0.13986013986013987,0.03496503496503497,286
Nandua High,02003,ACCOMACK CO PBLC SCHS,NaN,NaN,NaN,0,0.7722107438016529,0.3551401869158879,0.40186915887850466,132,NA,NA,NA,NA,0.6390625000000001,0.475,0.3,0.2125,80,0.6378676470588234,0.39705882352941174,0.16911764705882354,136,0.41911764705882354,0.46242643730194655,0.7021276595744681,94,0.1595744680851064,0.3692033293697977,0.7758620689655172,0.06896551724137931,58,0.15517241379310345,0.6228,0.51,100,0.21,0.27,0.6327084881119768,0.4606580829756796,0.35765379113018597,0.16452074391988558,699
Arcadia High,02028,ACCOMACK CO PBLC SCHS,0.75,0,0,4,0.8539094650205762,0.2916666666666667,0.41666666666666663,108,NA,NA,NA,NA,0.6701051378694703,0.352112676056338,0.36619718309859156,0.2676056338028169,71,0.659883338450068,0.2913907284768212,0.2847682119205298,151,0.41721854304635764,0.3757356269805342,0.7659574468085106,47,0.19148936170212766,0.6419753086419753,0.4444444444444444,0.3333333333333333,9,0.22222222222222224,0.6729925517804306,0.40404040404040403,99,0.24242424242424243,0.32323232323232326,0.6689476952250413,0.33547351524879615,0.39646869983948635,0.24719101123595505,623
Albemarle High,00015,ALBEMARLE CO PBLC SCHS,0.8888888888888887,0.07142857142857144,0.35714285714285715,24,0.8811741348140496,0.3624454148471616,0.29257641921397376,352,NA,NA,NA,NA,0.5257864810288022,0.6675257731958762,0.09020618556701031,0.08762886597938144,388,0.6371867093945017,0.551948051948052,0.12597402597402596,770,0.17662337662337663,0.36323171678484556,0.7877697841726619,278,0.01798561151079137,0.46095389049773494,0.7182866556836903,0.06260296540362438,607,0.04942339373970346,0.5899740639143363,0.6067146282973621,417,0.11990407673860912,0.11990407673860912,0.6084141788256786,0.5863110216406643,0.14594866633115253,0.12934071464519376,1987
Murray High,00030,ALBEMARLE CO PBLC SCHS,0.75,1,0,4,0.7033333333333334,0.761904761904762,0.04761904761904762,30,NA,NA,NA,NA,0.37037037037037024,0.7777777777777778,0,0.1111111111111111,9,0.4409722222222223,0.7291666666666666,0.125,48,0.10416666666666667,0.375,0.75,4,0.25,NA,NA,NA,NA,NA,0.19753086419753085,0.8888888888888888,9,0,0.1111111111111111,0.3679354094579007,0.7843137254901961,0.06862745098039215,0.10784313725490197,102
Western Albemarle High,00035,ALBEMARLE CO PBLC SCHS,0.875,0.5,0,4,0.6196092033761129,0.8636363636363636,0.030303030303030304,93,NA,NA,NA,NA,0.22877347867213182,0.8758389261744967,0.02348993288590604,0.0436241610738255,298,0.2633775294031705,0.8547008547008547,0.049145299145299144,468,0.017094017094017096,0.16560553633218,0.9117647058823529,170,0,0.15959742357565931,0.9154929577464789,0.02012072434607646,497,0.004024144869215292,0.22154890656342485,0.8801498127340824,267,0.026217228464419477,0.02247191011235955,0.22292029769244714,0.8792650918635171,0.019247594050743656,0.04286964129483815,1143
Monticello High,01747,ALBEMARLE CO PBLC SCHS,0.7959183673469388,0.75,0,7,0.8464650283553875,0.45000000000000007,0.2375,230,NA,NA,NA,NA,0.44432132963988913,0.7315789473684211,0.06842105263157895,0.10526315789473684,190,0.5730709971959399,0.6142595978062158,0.1590493601462523,547,0.14076782449725778,0.3183755165289255,0.8181818181818182,176,0.011363636363636364,0.37216946676406126,0.7837837837837838,0.051351351351351354,370,0.032432432432432434,0.5010272022969728,0.6865671641791045,201,0.12437810945273632,0.05970149253731344,0.5573378871438835,0.6322751322751323,0.12962962962962962,0.1455026455026455,1134
T.C. Williams High,00054,ALEXANDRIA CITY PBLC SCHS,0.8508875739644971,0,0.20588235294117646,65,0.8392643680229046,0.0625,0.2253787878787879,943,NA,NA,NA,NA,0.7171878099583415,0.3380281690140845,0.31338028169014087,0.25528169014084506,568,0.6619546392346495,0.19544592030360533,0.4642631246046806,1581,0.28779253636938645,0.5414275090101255,0.648471615720524,458,0.14192139737991266,0.6850939890336629,0.46003898635477586,0.20662768031189085,1026,0.23586744639376217,0.7203124812210805,0.3054263565891473,645,0.30387596899224806,0.2992248062015504,0.6878444159811802,0.2206844489179668,0.28938097634625065,0.4209864116758933,3974
Alleghany High,01883,ALLEGHANY CO PBLC SCHS,0.5555555555555556,1,0,3,0.5228328793462587,0.8181818181818181,0.10606060606060606,79,NA,NA,NA,NA,0.17087931648273402,0.9056603773584906,0.09433962264150944,0,53,0.22791663749445734,0.8743961352657005,0.00966183574879227,207,0.0821256038647343,0.06185437137818095,0.9682539682539683,126,0.023809523809523808,0.17999999999999994,0.9,0,10,0,0.22684310018903586,0.8695652173913043,46,0,0.13043478260869565,0.23324896839471299,0.8713692946058091,0.08160442600276625,0.011065006915629323,723
Altern Ed Prgm/Behav Disord Youth/Montgomery,02353,ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,0.75,1,0,2,0.75,1,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,3,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31689488971879076,0.8135593220338984,0.14124293785310735,0.03389830508474576,177
