School,SCHID,LEA,class,dindex,pctwhite,pctblack,schoolsum,pctlatinx
Chincoteague High,00007,ACCOMACK CO PBLC SCHS,alg11112,NaN,NaN,NaN,0,NA
Chincoteague High,00007,ACCOMACK CO PBLC SCHS,alg10910,0.5680473372781064,0.7272727272727272,0.2727272727272727,26,NA
Chincoteague High,00007,ACCOMACK CO PBLC SCHS,alg108,0,1,0,4,NA
Chincoteague High,00007,ACCOMACK CO PBLC SCHS,chem,0.06887755102040805,0.9642857142857143,0,28,0.03571428571428571
Chincoteague High,00007,ACCOMACK CO PBLC SCHS,bio,0.3309948979591836,0.8035714285714286,0.14285714285714285,56,0.05357142857142857
Chincoteague High,00007,ACCOMACK CO PBLC SCHS,gate,0,1,0,26,NA
Chincoteague High,00007,ACCOMACK CO PBLC SCHS,apany,0.09972299168975085,0.9473684210526315,0,19,0.05263157894736842
Chincoteague High,00007,ACCOMACK CO PBLC SCHS,alg2,0.19753086419753085,0.8888888888888888,0.1111111111111111,45,0
Chincoteague High,00007,ACCOMACK CO PBLC SCHS,enr,0.30977064893148787,0.8181818181818182,0.13986013986013987,286,0.03496503496503497
Nandua High,02003,ACCOMACK CO PBLC SCHS,alg11112,NaN,NaN,NaN,0,NA
Nandua High,02003,ACCOMACK CO PBLC SCHS,alg10910,0.7722107438016529,0.3551401869158879,0.40186915887850466,132,NA
Nandua High,02003,ACCOMACK CO PBLC SCHS,chem,0.6390625000000001,0.475,0.3,80,0.2125
Nandua High,02003,ACCOMACK CO PBLC SCHS,bio,0.6378676470588234,0.39705882352941174,0.41911764705882354,136,0.16911764705882354
Nandua High,02003,ACCOMACK CO PBLC SCHS,gate,0.46242643730194655,0.7021276595744681,0.1595744680851064,94,NA
Nandua High,02003,ACCOMACK CO PBLC SCHS,apany,0.3692033293697977,0.7758620689655172,0.15517241379310345,58,0.06896551724137931
Nandua High,02003,ACCOMACK CO PBLC SCHS,alg2,0.6228,0.51,0.27,100,0.21
Nandua High,02003,ACCOMACK CO PBLC SCHS,enr,0.6327084881119768,0.4606580829756796,0.35765379113018597,699,0.16452074391988558
Arcadia High,02028,ACCOMACK CO PBLC SCHS,alg11112,0.75,0,0,4,NA
Arcadia High,02028,ACCOMACK CO PBLC SCHS,alg10910,0.8539094650205762,0.2916666666666667,0.41666666666666663,108,NA
Arcadia High,02028,ACCOMACK CO PBLC SCHS,chem,0.6701051378694703,0.352112676056338,0.36619718309859156,71,0.2676056338028169
Arcadia High,02028,ACCOMACK CO PBLC SCHS,bio,0.659883338450068,0.2913907284768212,0.41721854304635764,151,0.2847682119205298
Arcadia High,02028,ACCOMACK CO PBLC SCHS,gate,0.3757356269805342,0.7659574468085106,0.19148936170212766,47,NA
Arcadia High,02028,ACCOMACK CO PBLC SCHS,apany,0.6419753086419753,0.4444444444444444,0.22222222222222224,9,0.3333333333333333
Arcadia High,02028,ACCOMACK CO PBLC SCHS,alg2,0.6729925517804306,0.40404040404040403,0.32323232323232326,99,0.24242424242424243
Arcadia High,02028,ACCOMACK CO PBLC SCHS,enr,0.6689476952250413,0.33547351524879615,0.39646869983948635,623,0.24719101123595505
Albemarle High,00015,ALBEMARLE CO PBLC SCHS,alg11112,0.8888888888888887,0.07142857142857144,0.35714285714285715,24,NA
Albemarle High,00015,ALBEMARLE CO PBLC SCHS,alg10910,0.8811741348140496,0.3624454148471616,0.29257641921397376,352,NA
Albemarle High,00015,ALBEMARLE CO PBLC SCHS,chem,0.5257864810288022,0.6675257731958762,0.09020618556701031,388,0.08762886597938144
Albemarle High,00015,ALBEMARLE CO PBLC SCHS,bio,0.6371867093945017,0.551948051948052,0.17662337662337663,770,0.12597402597402596
