Name,dist_id,Division num ,num9th grade,num10th grade,num11th grade,num Geometry classes,num Algebra I classes,num Algebra II classes,numWorld I to 1500,numWorld 2,num US & Virginia History classes,numEarth science,numBiology,numChemistry I,SUM,AVG
Fairfax,29,4,5,4,8,4,3,3,4,5,8,0,3,3,50,4.166666667
Richmond,123,1,3,2, ,3, , ,2,2,6,3,4,2,,3
Orange County,68,4,3,3,5,3,4,2,0,1,4,3,3,2,33,2.75
Amherst County,5,5,2,2,4,2,3,2,0,2,3,2,2,3,27,2.25
Carroll County,18,7,3,2,3,2,2,1,0,2,4,2,2,1,24,2
Middlesex County,59,3,2,2,2,3,3,3,1,0, ,2,2,2,,2
Spotsylvania County,88,3,2,2,3,2,2,2,0,1,3,2,2,2,23,1.916666667
Falls Church,109,4,2,2,3,2,2,2,1,0,3,1,2,2,22,1.833333333
Manassas Park,144,4,2,2,5,1,2,2,0,2,3,1,1,1,22,1.833333333
Nottoway County,67,8,2,2,2,2,1,0,2,2,2,3,3,1,22,1.833333333
Poquoson,142,2,3,2,3,2,2,2,0,1,2,2,2,1,22,1.833333333
King George County,48,3,2,2,3,1,3,2,0,2,2,1,1,1,20,1.666666667
Lee County,52,7,2,2,2,1,2,1,0,1,3,2,2,1,19,1.583333333
West Point,207,3,2,2,2,2,2,1,1,0,3,1,1,1,18,1.5
Essex County,28,3,2,2,3,1,1,1,0,1,2,1,2,1,17,1.416666667
Russell County,83,7,2,2,2,2,2,1,0,1,2,1,1,1,17,1.416666667
Scott County,84,7,2,2,2,2,1,1,1,0,2,1,1,1,16,1.333333333
Covington,107,6,1,1,1,2,2,1,1,0,2,1,1,1,14,1.166666667
Wise County,96,7,2,2,2,1,1,1,1,0,1,1,1,1,14,1.166666667
Dinwiddie,27,1,1,1,1,1,1,1,,1,2,1,1,1,,
