id,prereq_ratio
207,1
144,1.17
143,1.33
142,3.13
139,1.4
136,3.1
135,3
132,1.6
131,1.14
130,2.88
128,1
127,2.18
126,3.91
124,1.29
123,2.83
122,1.5
121,NA
119,NA
118,1.56
117,0.5
116,0.67
115,0.5
114,0.91
113,0.6
112,0.36
111,2.88
110,2.55
109,1.5
108,0.91
107,NA
106,2.5
104,0.8
103,0
102,0
101,0.67
98,1.4
97,2
96,1
94,0.25
93,2.36
92,0
91,2
89,1.64
88,1
87,NA
86,0.25
85,1.1
84,0
83,0.75
82,0.67
81,2.13
73,1.75
80,1.55
79,2
78,1
77,1
75,1.5
74,4.17
72,2.55
71,2.13
70,1.33
69,1.2
68,1.2
67,2.14
66,2.2
65,1.4
63,3.5
62,2
60,1.11
59,2.3
58,1.5
57,NA
56,1.6
55,1.45
54,2
53,0.44
52,NA
51,3.67
50,1.78
48,1.75
46,1.1
44,0
43,0
42,0.55
41,0.14
39,0.33
37,0.7
36,0.78
34,3.14
33,1.5
32,2.18
31,2.33
30,0.86
29,0.64
28,3
27,NA
26,0.67
24,2.09
23,NA
22,1.29
21,3.18
20,2
19,4
18,1.14
17,1.86
16,0.75
15,2.55
13,NA
12,1.2
11,NA
10,0.13
9,2.33
8,0
7,1.57
6,3.71
5,1.2
4,1.5
3,2.75
2,0.6
1,1.33
