School,SCHID,LEA,apcount,schpop,APSAI
Tangier Combined,00014,ACCOMACK CO PBLC SCHS,26,62,2.3846153846153846
The Georgetown School,02691,HANOVER CO PBLC SCHS,18,48,2.6666666666666665
Chincoteague High,00007,ACCOMACK CO PBLC SCHS,23,286,12.434782608695652
Rappahannock County High,01346,RAPPAHANNOCK CO PBLC SCHS,22,361,16.40909090909091
Open High,01373,RICHMOND CITY PBLC SCHS,10,181,18.1
Gretna High,01218,PITTSYLVANIA CO PBLC SCHS,27,519,19.22222222222222
Galileo Magnet High,02261,DANVILLE CITY PBLC SCHS,15,295,19.666666666666668
ALC at Mountain View,01106,FAIRFAX CO PBLC SCHS,1,21,21
Highland High,00862,HIGHLAND CO PBLC SCHS,4,101,25.25
Waynesboro High,01759,WAYNESBORO CITY PBLC SCHS,33,842,25.515151515151516
HB Woodlawn Secondary Program,02659,ARLINGTON CO PBLC SCHS,26,683,26.26923076923077
Central High,00878,KING AND QUEEN CO PBLC SCHS,8,212,26.5
Nandua High,02003,ACCOMACK CO PBLC SCHS,24,699,29.125
Bruton High,01812,YORK CO PBLC SCHS,20,603,30.15
Middlesex High,01012,MIDDLESEX CO PBLC SCHS,13,395,30.384615384615383
Floyd County High,00618,FLOYD CO PBLC SCHS,27,841,31.14814814814815
Poquoson High,01231,POQUOSON CITY PBLC SCHS,22,699,31.772727272727273
Patrick Henry High,01749,WASHINGTON CO PBLC SCHS,13,423,32.53846153846154
Blacksburg High,01016,MONTGOMERY CO PBLC SCHS,37,1205,32.567567567567565
Regional Learning Academy/Wise Co,02372,REGIONAL LEARNING ACADEMY/WISE CO,2,67,33.5
Radford High,01345,RADFORD CITY PBLC SCHS,15,508,33.86666666666667
Richmond Community High,02075,RICHMOND CITY PBLC SCHS,7,238,34
Central High,01789,WISE CO PBLC SCHS,18,612,34
Riverheads High,00129,AUGUSTA CO PBLC SCHS,13,451,34.69230769230769
King George High,00882,KING GEO CO PBLC SCHS,37,1301,35.16216216216216
Maggie L. Walker Governor's School,02561,MAGGIE L. WALKER GOV SCH,21,749,35.666666666666664
Wilson Memorial High,00138,AUGUSTA CO PBLC SCHS,21,751,35.76190476190476
Franklin High,00628,FRANKLIN CITY PBLC SCHS,8,290,36.25
Rappahannock High,01409,RICHMOND CO PBLC SCHS,13,475,36.53846153846154
Goochland High,00686,GOOCHLAND CO PBLC SCHS,23,842,36.608695652173914
Colonial Beach High,01957,COLONIAL BEACH PBLC SCHS,6,222,37
Buffalo Gap High,00117,AUGUSTA CO PBLC SCHS,13,483,37.15384615384615
Auburn High,01013,MONTGOMERY CO PBLC SCHS,11,420,38.18181818181818
Virginia High,00179,BRISTOL CITY PBLC SCHS,17,650,38.23529411764706
Richlands High,01661,TAZEWELL CO PBLC SCHS,18,692,38.44444444444444
Robert E. Lee High,01606,STAUNTON CITY PBLC SCHS,19,759,39.94736842105263
Spotswood High,01872,ROCKINGHAM CO PBLC SCHS,23,943,41
York High,01823,YORK CO PBLC SCHS,27,1115,41.2962962962963
Jamestown High,01665,WILLIAMSBURG-JAMES CITY PBLC SCHS,32,1334,41.6875
Green Run Collegiate,02957,VA BEACH CITY PBLC SCHS,8,334,41.75
ALC at Bryant,01103,FAIRFAX CO PBLC SCHS,1,42,42
Turner Ashby High,02164,ROCKINGHAM CO PBLC SCHS,24,1024,42.666666666666664
Graham High,01653,TAZEWELL CO PBLC SCHS,12,519,43.25
Warhill High,02658,WILLIAMSBURG-JAMES CITY PBLC SCHS,32,1386,43.3125
Eastern View High,02758,CULPEPER CO PBLC SCHS,30,1301,43.36666666666667
East Rockingham High,02803,ROCKINGHAM CO PBLC SCHS,16,707,44.1875
Courtland High,01873,SPOTSYLVANIA CO PBLC SCHS,26,1168,44.92307692307692
Hampton High,00742,HAMPTON CITY PBLC SCHS,32,1446,45.1875
Tabb High,01820,YORK CO PBLC SCHS,25,1136,45.44
Charlottesville High,00273,CHARLOTTESVILLE CTY PBLC SCHS,25,1144,45.76
Monticello High,01747,ALBEMARLE CO PBLC SCHS,24,1134,47.25
Culpeper County High,00376,CULPEPER CO PBLC SCHS,25,1183,47.32
Granby High,01098,NORFOLK CITY PBLC SCHS,42,1990,47.38095238095238
Kettle Run High,02785,FAUQUIER CO PBLC SCHS,25,1193,47.72
Broadway High,01492,ROCKINGHAM CO PBLC SCHS,21,1026,48.857142857142854
Achievable Dream Middle/High,02344,NEWPORT NEWS CITY PBLC SCHS,9,440,48.888888888888886
Glenvar High,01457,ROANOKE CO PBLC SCHS,12,588,49
Grafton High,01443,YORK CO PBLC SCHS,24,1181,49.208333333333336
Madison County High,00972,MADISON CO PBLC SCHS,11,542,49.27272727272727
E.C. Glass High,00956,LYNCHBURG CITY PBLC SCHS,26,1290,49.61538461538461
Dan River High,01214,PITTSYLVANIA CO PBLC SCHS,14,703,50.214285714285715
Liberty High,00151,BEDFORD CO PBLC SCHS,16,812,50.75
Liberty High,00854,FAUQUIER CO PBLC SCHS,24,1226,51.083333333333336
Princess Anne High,00412,VA BEACH CITY PBLC SCHS,34,1764,51.88235294117647
Tazewell High,01668,TAZEWELL CO PBLC SCHS,10,529,52.9
Spotsylvania High,01593,SPOTSYLVANIA CO PBLC SCHS,22,1166,53
Stafford Senior High,01602,STAFFORD CO PBLC SCHS,37,1962,53.027027027027025
Jefferson Forest High,02175,BEDFORD CO PBLC SCHS,26,1385,53.26923076923077
Caroline High,00238,CAROLINE CO PBLC SCHS,22,1174,53.36363636363637
Appomattox County High,00076,APPOMATTOX CO PBLC SCHS,13,700,53.84615384615385
